ID,Title,Artist,Tags,Cover,Difficulty
187,Easy (Like Sunday Morning),The Commodores; Faith No More,"70s, 90s",https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/9d/11/3f/9d113fec-cc4b-2e58-9e8f-4c590bf7e75f/5059460036420.jpg/600x600bb.jpg,
188,Electric Indigo,The Paper Kites,Aussie,https://i.scdn.co/image/ab67616d0000b273fac40a5731f33eaa7043b070,
189,Enter Sandman,Metallica,90s,https://i.scdn.co/image/ab67616d0000b2731f9edf15e43f4c2f4938b869,
190,Everlong,Foo Fighters,"Rock, Classic",https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b,
191,Every Breath You Take,The Police,80s,https://i.scdn.co/image/ab67616d0000b273c8e97cafeb2acb85b21a777e,
192,Every Little Thing She Does is Magic,The Police,80s,https://i.scdn.co/image/ab67616d0000b273b7879980ef2ea7ac1cc29316,
193,Everybody (Backstreet's Back),Backstreet Boys,,https://i.scdn.co/image/ab67616d0000b273c999354430ff7eac3e0d9bc8,
194,Everybody Hurts,R.E.M.,,https://i.scdn.co/image/ab67616d0000b273ace3e7aae0b7c78bbe1c4f35,
195,Everybody Needs Somebody,Blues Brothers,,https://i.scdn.co/image/ab67616d0000b2739a88a61e9fb51cce727b0f52,
196,Everybody Wants to Rule the World,Tears for Fears,,https://i.scdn.co/image/ab67616d0000b27322463d6939fec9e17b2a6235,
197,Everything Will Change,Derek Webb,,https://i.scdn.co/image/ab67616d0000b27357a9355c5e537f3de1be8385,
198,F*** You,CeeLo Green,,https://i.scdn.co/image/ab67616d0000b2736f50b3400595b123a916e0dc,
199,Fairytale of New York,The Pogues,,https://i.scdn.co/image/ab67616d0000b273d0ccf94a2d981db731f5dab8,
200,Faith,George Michael,80s,https://i.scdn.co/image/ab67616d0000b2733d7a9b3dd60f47955a0cb234,
201,Falling Slowly,Glen Hansard and Markéta Irglová,Duet,https://i.scdn.co/image/ab67616d0000b27321b9df8a4fe78b431c63f948,
202,Fallingwater,Maggie Rogers,,https://i.scdn.co/image/ab67616d0000b273d658a02ba8931985bdc4e0da,
203,Fast Car,Tracey Chapman,,https://i.scdn.co/image/ab67616d00001e027602becfedf6e25752cb54ff,
204,Fat Lip,Sum 41,"Rock, 2000s",https://i.scdn.co/image/ab67616d0000b2739a482180e6a306229bff49dc,
205,Feeling Good,"Nina Simone, Michael Buble",60s,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/6d/b7/1a/6db71ad5-1932-15d4-fdd0-930f9999afd9/21UM1IM02868.rgb.jpg/600x600bb.jpg,
206,Fell In Love With a Girl,White Stripes,,https://i.scdn.co/image/ab67616d0000b273c6084929566743530de8c721,
207,Fernando,ABBA,70s,https://i.scdn.co/image/ab67616d0000b27370f7a1b35d5165c85b95a0e0,
208,Fight For Your Right (To Party),Beastie Boys,"Rock, 80s",https://i.scdn.co/image/ab67616d0000b2739bfd5530395fa1a1b5044f18,
209,Finesse,Bruno Mars,,https://i.scdn.co/image/ab67616d0000b27347e522adf030a78615cdea06,
210,Fire,Jimi Hendrix,Rock,https://i.scdn.co/image/ab67616d0000b273c9adfbd773852e286faed040,
211,Fire and Rain,James Taylor,,https://i.scdn.co/image/ab67616d0000b273b3adf9b1706b05af854bbad4,
212,Firecracker,Bros. Landreth,,https://i.scdn.co/image/ab67616d0000b273e45fec3aef2e77b7ce0898d0,
213,Fireflies,Owl City,"Pop, 2000s",https://i.scdn.co/image/ab67616d0000b273d25c579ea362aeee960d0d6b,
214,Firework,Katy Perry,,https://i.scdn.co/image/ab67616d0000b273d20c38f295039520d688a888,
215,Fix You,Coldplay,,https://i.scdn.co/image/ab67616d0000b2734e0362c225863f6ae2432651,
216,Flagpole Sitta,Harvey Danger,,https://i.scdn.co/image/ab67616d0000b273868d99be4de6929eeac899ba,
217,Flags,Brooke Fraser,,https://i.scdn.co/image/ab67616d0000b273832fec9291df86f9b2310bea,
218,Flood,Jars of Clay,,https://i.scdn.co/image/ab67616d0000b2732ff8961083e3e14a8b695905,
219,Flowers,Miley Cyrus,2020s,https://i.scdn.co/image/ab67616d0000b273620579123737c59b22ac6411,
220,Fly Me To The Moon,Frank Sinatra,60s,https://i.scdn.co/image/ab67616d0000b273cb81eb3c1238c60f2bbfd3b5,
221,For the Ages,Paul Kelly,Aussie,https://i.scdn.co/image/ab67616d0000b273fa5c35abff3405c743befb89,
222,For the Moments I Feel Faint,Relient K,,https://i.scdn.co/image/ab67616d0000b273102c170920f16db53016b5c2,
223,For Those Below,Mumford & Sons,,https://i.scdn.co/image/ab67616d0000b2736e2407383e952808a0602b0d,
224,Forever,Ben Harper,,https://i.scdn.co/image/ab67616d0000b273662ae319e9f61635425ea723,
225,Fortunate Son,Creedence Clearwater Revival,"Rock, 60s",https://i.scdn.co/image/ab67616d0000b2739f39192f9f8ca1c90847b3e5,
226,Frail,Jars of Clay,,https://i.scdn.co/image/ab67616d0000b273171efa3f1b08ef91d3ed4b9d,
227,Free Fallin’,Tom Petty,,https://i.scdn.co/image/ab67616d0000b27336572e6726714544f5bed456,
228,Friday I'm In Love,The Cure,,https://i.scdn.co/image/ab67616d0000b273e410fa31e3dfcc7521cde86d,
229,From This Valley,The Civil Wars,,https://i.scdn.co/image/ab67616d0000b273f8edb9c47544ab014e59ab54,
230,Frozen Heart,Disney,,https://i.scdn.co/image/ab67616d0000b2734b1899123e484c034e31164e,
