SongID,Title,Artist,Tags,Cover,Difficulty
110,Call Me Maybe,Carly Rae Jepsen,None,https://i.scdn.co/image/ab6761610000e5eb8272bf414106646e0e4a89f3,medium
111,Can You Feel the Love Tonight,Disney (The Lion King),Duet,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,medium
112,Can't Help Falling In Love,Elvis Presley,None,https://i.scdn.co/image/ab6761610000e5eb9a93e273380982dff84c0d7c,easy
113,Can't Stop The Feeling,Justin Timberlake,None,https://i.scdn.co/image/ab6761610000e5eb7a5cfe2597665a3d160e805e,medium
114,Can't Take My Eyes Off You,Frankie Valli and the Four Seasons,None,https://i.scdn.co/image/ab6761610000e5ebb327bc619c6db2f9dce5f431,medium
115,Canned Heat,Jamiroquai,None,https://i.scdn.co/image/ab6761610000e5eb7e6dca959714339b69e9718d,medium
116,Canticle of the Turning,Christmas,None,https://i.scdn.co/image/ab67616d0000b273dcc015504df41d1ef97092d0,easy
117,Castle on the Hill,Ed Sheeran,None,https://i.scdn.co/image/ab6761610000e5eb3bcef85e105dfc42399ef0ba,medium
118,Cecilia,Simon & Garfunkel,None,https://i.scdn.co/image/afde2fdd14f8c8ca23393f257e3a369a234a24b6,medium
119,Celebrity Skin,Hole,"Rock, 90s",https://i.scdn.co/image/3f070ac89152fcd23f90c1351295d8cc64d54cb2,easy
120,Centerfold,J. Geils Band,None,https://i.scdn.co/image/314a7c90c1d6fc4b33adb2da62e05a48a1767a14,easy
121,Chain of Fools,Aretha Franklin,Soul,https://i.scdn.co/image/ab6761610000e5ebf12270128127ba170f90097d,medium
122,Champagne Supernova,Oasis,None,https://i.scdn.co/image/ab6761610000e5eba572b3112ccbf374488fed58,easy
123,Chandelier,Sia,"Bangers, Aussie",https://i.scdn.co/image/ab6761610000e5eb25a749000611559f1719cc5f,hard
124,Cherry Cherry,Neil Diamond,None,https://i.scdn.co/image/f4d0fb18cb338eddee6b482779d946183a743b12,easy
125,Chim Chim Cher-ee,Disney; Mary Poppins,Showtunes,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,medium
126,Chop Suey,System of a Down,2000s,https://i.scdn.co/image/ab6761610000e5eb60063d3451ade8f9fab397c2,
127,Cinnamon Girl,Prince,,https://i.scdn.co/image/ab6761610000e5ebeaca358712b3fe4ed9814640,
128,Clocks,Coldplay,,https://i.scdn.co/image/ab6761610000e5eb989ed05e1f0570cc4726c2d3,
129,Closer to Fine,Indigo Girls,90s,https://i.scdn.co/image/ab6761610000e5ebcdbd28dd134a8828825088de,
130,Closing Time,Semisonic,,https://i.scdn.co/image/ab6761610000e5ebcbac00ef1ac185c67665e970,
131,Colors of the Wind,Disney,,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853,
132,Come Together,The Beatles,,https://i.scdn.co/image/ab6761610000e5ebe9348cc01ff5d55971b22433,
133,Come When I Call,John Mayer,,https://i.scdn.co/image/ab6761610000e5ebe926dd683e1700a6d65bd835,
134,Complicated,Avril Lavigne,,https://i.scdn.co/image/ab6761610000e5eb581efa688945cbb092df1726,
135,Control,MuteMath,,https://i.scdn.co/image/ab6761610000e5eb9030ba4eab4510d7a15921f3,
136,Counting Blue Cars,Dishwalla,90s,https://i.scdn.co/image/ab6761610000e5eb327866412875d580bd75c9f4,
137,Cover Me Up,Jason Isbell,Country,https://i.scdn.co/image/ab6761610000e5eb0ad790e9900e7a4dc94f6304,
138,Crash Into Me,Dave Matthews Band,,https://i.scdn.co/image/ab6761610000e5ebc04724201a3cd1a81d7bba05,
139,Crazy,Patsy Cline,Country,https://i.scdn.co/image/c8eb3a2d38f77a5f9e752036dec6c21f307fbfe2,
140,Crazy In Love,Beyoncé,,https://i.scdn.co/image/ab6761610000e5eb12e3f20d05a8d6cfde988715,
141,Crazy Little Thing Called Love,Queen,,https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982,
142,"Crazy Love, VOL. II",Paul Simon,,https://i.scdn.co/image/ab6761610000e5ebddc148cfa465c2065846c636,
143,Cream,Prince,,https://i.scdn.co/image/ab6761610000e5ebeaca358712b3fe4ed9814640,
144,Creep,Radiohead,,https://i.scdn.co/image/ab6761610000e5eba03696716c9ee605006047fd,
145,Crowded Table,The Highwomen,Country,https://i.scdn.co/image/ab6761610000e5eba0d6a5086e07adf1a9c3590e,
146,Cruel Summer,Taylor Swift,2000s,https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4,
147,Dancing in the Dark,Bruce Springsteen,80s,https://i.scdn.co/image/ab6761610000e5ebf7cac48c6b587b927ba73f4e,
148,Dancing in the Street,Martha Reeve and the Vandellas,Soul,https://i.scdn.co/image/b73ee3ca9b41ce90e95b94018fb342dd1ac58622,
149,Dancing on My Own,Robyn,Pop,https://i.scdn.co/image/ab6761610000e5eba056ac6e44777f9aa30f5e3b,
